Fatal_Accident_Index,Fatal_Casualty_Type,Fatal_Casualty_Sex,Fatal_Casualty_Age
"200601TD00100",Car_Passenger,Male,25
"200601TD00108",Pedestrian,Male,21
"200601TD00130",Pedestrian,Female,77
"200601TD00131",Pedestrian,Male,50
"200601TD00149",Pedestrian,Male,10
"200601TD00163",Motor_Cycle_Rider,Male,45
"200601TD00188",Pedestrian,Male,48
"200601TD00191",Pedestrian,Male,50
"200601TD00193",Pedestrian,Male,63
"200601TD00207",Pedal Cyclist,Male,66
"200601TD00214",Motor_Cycle_Rider,Male,44
"200601TD00222",Pedestrian,Male,52
"200601TD00230",Pedestrian,Male,26
"200601TD00237",Pedestrian,Female,67
"200601TD00245",Car_Passenger,Male,39
"200601TD00246",Motor_Cycle_Rider,Male,20
"200601TD00254",Car_Driver,Female,35
"200601TD00255",Pedal Cyclist,Male,57
"200601TD00264",Motor_Cycle_Rider,Male,25
"200601TD00294",Pedestrian,Female,90
"200601TD00295",Bus_Passenger,Female,80
"200601TD00314",Pedestrian,Male,1
"200601TD00315",Pedestrian,Male,75
"200601TD00316",Motor_Cycle_Rider,Male,23
"200601TD00319",Motor_Cycle_Rider,Male,13
"200601TD00322",HGV_Driver,Male,41
"200601TD00329",Pedestrian,Male,83
"200601TD00342",Pedestrian,Female,12
"200601TD00343",Car_Driver,Female,25
"200601TD00345",Pedestrian,Male,72
"200601TD00353",Bus_Passenger,Female,93
"200601TD00358",Car_Passenger,Female,35
"200601TD00358",Car_Driver,Female,40
"200601TD00366",Car_Driver,Male,80
"200601TD09019",Motor_Cycle_Rider,Male,33
"200601TD09038",Car_Passenger,Female,16
"200601TD09039",Motor_Cycle_Rider,Male,17
"200601TD09061",Pedestrian,Male,73
"200601TD09071",Van_Driver,Male,16
"200601TE00005",Car_Driver,Male,56
"200601TE00006",Car_Passenger,Male,15
"200601TE00016",Pedal Cyclist,Female,57
"200601TE00023",Pedestrian,Male,64
"200601TE00025",Pedestrian,Female,39
"200601TE00027",Motor_Cycle_Rider,Male,46
"200601TE00028",Pedestrian,Male,68
"200601TE00034",Pedestrian,Female,89
"200601TE00043",Pedestrian,Female,24
"200601TE00046",Pedestrian,Female,40
"200601TE00054",Motor_Cycle_Rider,Male,36
